Iteration,Best_Fitness
1,-143.4093294981674
2,-126.8857306387996
3,-152.7545436919916
4,-152.07806390761132
5,-122.08820368671508
6,-162.5382473876009
7,-157.0321994776453
8,-142.3634866977009
9,-149.26500559226673
10,-145.68870404586335
11,-143.00757280210001
12,-143.59195427132406
13,-131.6253713528409
14,-147.40125196294653
15,-146.0313725940386
16,-135.10613617348778
17,-136.53589388008862
18,-141.4566998432003
19,-142.2072458007071
20,-127.31409503337375
21,-136.47852266832595
22,-141.00547979493817
23,-148.58067124245332
24,-126.70124909243182
25,-128.1736944298894
26,-125.44379229186345
27,-127.11608821437042
28,-139.9341328772729
29,-131.71691193739267
30,-133.78373908099945
31,-133.89937546780237
32,-137.75382213223247
33,-128.5135677091376
34,-134.85324705925078
35,-130.57435472103995
36,-120.26833046460786
37,-137.44759371831879
38,-135.93260843339274
39,-134.29930670041654
40,-127.19630803678771
41,-132.01448249533195
42,-134.85321319080035
43,-127.62626688148637
44,-130.58876664041185
45,-118.75483540895584
46,-130.9811165781871
47,-135.18877381229188
48,-135.15495582045563
49,-132.20738204847254
50,-124.94256241810157
51,-129.44503039546743
52,-134.73828779479416
53,-126.57536751299651
54,-126.79740711613607
55,-125.57410058189166
56,-130.45151069608698
57,-137.19964238345005
58,-121.7218519249036
59,-130.5389589070645
60,-123.5013093869423
61,-132.09215394476982
62,-128.68514844479986
63,-123.3680147220374
64,-132.80768587276796
65,-129.89012498291112
66,-128.003201514917
67,-119.31000728473751
68,-129.65046831040974
69,-125.18953205792857
70,-133.51240710310583
71,-127.79254792562782
72,-124.44992089572321
73,-128.56558380589425
74,-137.8318596504654
75,-130.01911044973457
76,-128.75317947609463
77,-123.14858271595983
78,-128.16207307701086
79,-137.00757003202582
80,-132.04304752411431
81,-125.68535767265274
82,-125.23146528879124
83,-134.1853097387733
84,-131.13836106955605
85,-129.8329721539911
86,-125.90045803681252
87,-122.9792999195299
88,-125.80614498561582
89,-131.40477020729867
90,-126.40048435778104
91,-114.04084715161844
92,-132.48467561549091
93,-132.89880264694028
94,-132.70370927609108
95,-126.6403218641276
96,-133.90004180462378
97,-127.73774366842713
98,-120.28148777060676
99,-131.22663305470667
100,-124.71761293884344
101,-133.87296476210156
102,-125.25166396040217
103,-123.44557500232159
104,-131.38670189342884
105,-130.33174127543592
106,-135.59847204918836
107,-131.38946804585476
108,-129.35103673255244
109,-124.87678321359735
110,-127.86333580701375
111,-137.6925689626836
112,-130.94675533383543
113,-126.67734764112933
114,-136.56792611265587
115,-118.01138975055429
116,-116.3171970783583
117,-128.44453941807086
118,-125.93438077202313
119,-122.65187205560963
120,-126.37953251990643
121,-127.08958971658572
122,-127.23192970349609
123,-129.50944834256438
124,-138.69340096822165
125,-119.77144432279323
126,-127.85206808312813
127,-118.98335525359249
128,-122.69059034665139
129,-130.73864647383363
130,-131.99469322440441
131,-135.95147581596788
132,-134.3066909355307
133,-131.3991159271021
134,-138.3960004846523
135,-127.02455186589742
136,-143.45896614818844
137,-132.44717261695382
138,-120.97930217360525
139,-134.64553034876081
140,-134.97560706955585
141,-130.24615628367582
142,-120.56301483241594
143,-133.55424696813498
144,-125.01716419776437
145,-128.82445194150733
146,-119.30644969222956
147,-137.83814976143424
148,-130.79365605701344
149,-123.32821383117806
150,-127.16253829417155
151,-121.87951956008442
152,-132.38191622899402
153,-124.94309343274105
154,-128.67154007906947
155,-130.12233989092667
156,-129.84174928781084
157,-121.02609729704457
158,-125.12248955914578
159,-139.37037346703033
160,-124.38302628469935
161,-134.81190580791767
162,-122.67057323293898
163,-119.74979782948805
164,-124.07133927835474
165,-129.286434715629
166,-133.09577658371185
167,-130.15388349461145
168,-132.0072752090121
169,-126.7902824273441
170,-130.60890334477864
171,-131.26064070382063
172,-126.82169281780295
173,-125.99494786647259
174,-117.81526841198297
175,-135.88317791168416
176,-125.56502606550609
177,-127.3839916666117
178,-131.04806168676984
179,-125.12146187463517
180,-134.60803422361965
181,-132.3327615845497
182,-123.88127883511683
183,-126.2236254563968
184,-122.74586401948827
185,-123.4107319313884
186,-138.21602231976001
187,-132.51106153039478
188,-126.75647680244214
189,-124.50197170222509
190,-126.80910168779124
191,-129.26410543306332
192,-137.1607220087839
193,-124.33675981363209
194,-128.05432026718898
195,-121.76351988958564
196,-124.97270647702734
197,-125.37736662303638
198,-127.72668763259665
199,-126.73043772786215
200,-129.58095311665426
201,-129.34619049024178
202,-122.53774305579569
203,-131.886354217675
204,-115.66848633006546
205,-127.49989378577996
206,-128.32593393393267
207,-138.8240882766976
208,-121.86656725004377
209,-126.31494536916841
210,-134.63483033086456
211,-125.00570204603892
212,-127.47874397963199
213,-125.17063853476421
214,-126.26868804419408
215,-117.04287572396908
216,-121.17661420850351
217,-136.41306577259346
218,-121.23003476940312
219,-124.72980717263601
220,-126.96742216191882
221,-123.81561422426967
222,-124.33977920362014
223,-126.68439674048244
224,-131.66756613137125
225,-134.54382216537394
226,-127.95088852997512
227,-125.9927135541351
228,-118.41726697997484
229,-132.12829808216952
230,-131.0999739455275
231,-124.6145456259652
232,-133.82012291509182
233,-140.14143290467302
234,-133.18962179243317
235,-136.0742105955252
236,-137.18036451785062
237,-131.04786015791387
238,-117.31221957138706
239,-125.63816721509431
240,-121.69820161416317
241,-128.52014422408146
242,-134.1497595105478
243,-133.1726466937637
244,-117.69375074021531
245,-117.77182956245761
246,-122.55446475854163
247,-122.29769359797487
248,-124.63300513828696
249,-128.79970243189345
250,-124.0032601014853
251,-136.51305720123878
252,-124.84198818527466
253,-126.07032307002362
254,-134.08221906887815
255,-123.87638808954608
256,-111.99476400704154
257,-121.08478845898543
258,-125.37671397889804
259,-129.58479705809805
260,-131.02042356063677
261,-127.20953279748801
262,-135.27733963393874
263,-129.36268705496664
264,-125.07827723277515
265,-124.96425774131814
266,-133.5805848992783
267,-137.17497713096574
268,-129.2825749673333
269,-112.66176495052696
270,-131.1336347375905
271,-122.86196368357668
272,-130.17783781442955
273,-137.46206675932834
274,-126.6010132719598
275,-121.09059634078181
276,-140.17556186007982
277,-123.68701232358933
278,-136.10737069512834
279,-127.11643919068379
280,-126.66622325961481
281,-126.33326833994704
282,-134.58911278173417
283,-131.2910009631294
284,-121.66204038180067
285,-132.53188561661662
286,-122.17644405336327
287,-130.78562162063884
288,-125.94069744584925
289,-133.6026294918656
290,-122.55899110271332
291,-121.21281148818255
292,-128.60457445089045
293,-134.61589513854156
294,-126.30263440623412
295,-129.99598423227087
296,-136.3828202995657
297,-129.58193661627072
298,-134.32244004145687
299,-129.57753361288678
300,-121.30216484201819
301,-133.222407560875
302,-140.64913126565372
303,-122.55980754744633
304,-123.6441464359612
305,-138.45748006344954
306,-123.55978189449098
307,-132.77521805191358
308,-130.9819008603959
309,-127.85349589479085
310,-130.99199156892433
311,-134.72116484895375
312,-128.39524256796113
313,-131.57754200606678
314,-125.2083537686594
315,-120.87819188014106
316,-123.42801351943234
317,-128.60732447780774
318,-128.75361651972293
319,-133.65737980365964
320,-124.29764221556019
321,-132.78326721499937
322,-137.46366502565198
323,-131.83272217319913
324,-126.89736731437378
325,-125.30090989956389
326,-131.6206964804641
327,-126.94990605441456
328,-126.0900528228687
329,-137.05178373107242
330,-125.75745386815137
331,-130.5222285837622
332,-131.5683862521385
333,-131.862157745744
334,-126.72666311790948
335,-129.63042538610637
336,-126.46546200743282
337,-130.34956031981596
338,-135.31011079821167
339,-133.30025022720073
340,-132.6144801744267
341,-130.57804509530467
342,-135.10881888654026
343,-122.65962293927981
344,-123.287542482888
345,-121.680250385515
346,-137.85096958999304
347,-123.15890786068164
348,-129.4893617769677
349,-128.95583611882662
350,-127.06736510420126
351,-115.1197047485742
352,-128.53520446782966
353,-124.23357926924535
354,-129.84873062609935
355,-130.07527067589854
356,-121.14523952237045
357,-135.64963721919565
358,-124.85290142752388
359,-126.8467922885686
360,-135.17563558235975
361,-131.67144112965792
362,-124.23054431918197
363,-132.22286417987732
364,-123.63812882943989
365,-128.7869017689271
366,-131.413924460251
367,-128.16026543373047
368,-125.81738423128553
369,-114.9276047769689
370,-137.1902780190523
371,-127.8702768423542
372,-127.97091053416747
373,-113.8561049303186
374,-128.0018430230294
375,-119.78390997024906
376,-116.41598536969757
377,-125.3463785067741
378,-121.51624257153443
379,-116.05451044716406
380,-123.68263497092906
381,-127.13428507833581
382,-126.13661275557351
383,-120.78991195108682
384,-128.56393459675994
385,-130.33666689065706
386,-117.52279663927507
387,-132.60549218010007
388,-122.45312183623776
389,-119.90510284436849
390,-121.42030293620164
391,-127.07133849202677
392,-128.51216097971786
393,-134.69430962699147
394,-135.93084902460245
395,-137.1536342354691
396,-130.925064112125
397,-129.83398923123434
398,-121.43640942443389
399,-123.92724490665327
400,-125.89760748306816
