Iteration,Best_Fitness
1,-113.37221626317469
2,-89.44238832574428
3,-12.426073874127784
4,-75.27734368239415
5,-86.99931702837304
6,-59.29075441071619
7,-91.2624266668104
8,-74.75650864483401
9,-39.824379694076406
10,-69.10695174265541
11,-46.23865058457766
12,-35.40813856832002
13,-61.294775258373534
14,-36.758735268835764
15,-47.52616478791267
16,-37.740891112126555
17,-57.167359231511526
18,-39.72624409306191
19,-60.908054954361226
20,-60.15266040747222
21,-39.473862535932064
22,-46.416669990255755
23,-60.45822502794844
24,-49.67876819362464
25,-40.464540169253226
26,-57.53738491627122
27,-57.103380455460226
28,-60.21395754623994
29,-50.38395470296315
30,-31.625968869712217
31,-52.53666203210722
32,-64.06509388487316
33,-41.745960328552016
34,-54.93657389515516
35,-50.21446437117997
36,-11.300658031951938
37,-19.179971810092024
38,-45.20617381482522
39,-45.79160834338988
40,-52.3366977505038
41,-43.068531223710146
42,-39.935550609487606
43,-4.812007728960919
44,-45.08834997464156
45,-42.344690456865706
46,-40.842866672145824
47,-32.827487978695956
48,-35.43573933576846
49,-61.7772882853685
50,-57.23657840773493
51,-43.60514183528892
52,-43.06384520725042
53,-32.955174624908885
54,-30.221452563531063
55,-53.15063975457785
56,-40.162472855382546
57,-51.11348363298474
58,-36.142787118455274
59,-39.64560101414202
60,-45.36276803114371
61,-57.58980791360615
62,-57.29896348240285
63,-59.78818795893096
64,-25.265708094326293
65,-55.64862098130243
66,-43.486095156657726
67,-39.38348088372129
68,-39.174966494245155
69,-54.76215728855908
70,-63.04419708314565
71,-52.23518161647614
72,-43.31865551726151
73,-29.35084839653523
74,-45.52986803350477
75,-42.544794470372196
76,-45.469818272708565
77,-24.403634295349026
78,-5.93592021075194
79,-36.123049821998485
80,-38.03348022271815
81,-49.436903931811074
82,-50.83214505291823
83,-38.20779408540592
84,-46.141377071008705
85,-46.620035815157806
86,-32.086048416867015
87,-37.73303238180188
88,-47.928636981196895
89,-45.96840192337684
90,-37.87181657663589
91,-32.76871646287137
92,-49.154554020212515
93,-39.2159369649885
94,-24.17488484434274
95,-38.973188962529306
96,-44.38764199039251
97,-22.58496387023978
98,-26.411490063628754
99,-19.22571401857176
100,-25.155312391571208
101,-43.93146865222201
102,-48.62142292191201
103,-51.5472410750063
104,-45.147959033974224
105,-55.18149423030995
106,-33.13392882987445
107,-44.734239790327365
108,-40.027760809331156
109,-41.00191186882375
110,25.591180019436617
111,-0.671216853452077
112,-30.21764439931087
113,-44.53822588359067
114,-2.06614439540362
